product_id,material_offset_id,order_id,total_quota,req_mat_offset_status
7825,109,394,10.000000,approval
5500,109,394,50.000000,approval
5461,109,394,50.000000,approval
5433,109,394,10.000000,approval
7830,109,394,10.000000,approval
3752,109,394,5.000000,approval
3712,109,394,5.000000,approval
3751,109,394,5.000000,approval
3817,109,394,5.000000,approval
8808,109,394,20.000000,approval
5516,109,394,30.000000,approval
7822,109,394,2.000000,approval
5513,109,394,30.000000,approval
7958,109,394,0.500000,approval
3731,109,394,5.000000,approval
3757,109,394,5.000000,approval
3717,109,394,5.000000,approval
3924,109,394,5.000000,approval
7643,109,394,20.000000,approval
5589,109,394,20.000000,approval
5421,109,394,20.000000,approval
2501,109,394,20.000000,approval
3384,109,394,1.000000,approval
3863,109,394,5.000000,approval
3801,109,394,5.000000,approval
8053,109,394,1.000000,approval
1445,109,394,1.000000,approval
7608,109,394,20.000000,approval
5530,109,394,20.000000,approval
7618,109,394,20.000000,approval
5555,109,394,20.000000,approval
3965,109,394,50.000000,approval
2570,110,175,202.000000,approval
4546,111,394,20.000000,approval
7978,111,394,20.000000,approval
8958,112,406,5.000000,approval
419,113,394,0.500000,approval
1061,113,394,4.000000,approval
6691,113,394,2.000000,approval
7498,113,394,4.000000,approval
4515,113,394,30.000000,approval
4543,113,394,30.000000,approval
4517,113,394,20.000000,approval
1764,113,394,3.000000,approval
1941,113,394,0.500000,approval
102,113,394,0.500000,approval
235,113,394,4.000000,approval
1953,113,394,0.500000,approval
1285,114,394,4.000000,approval
9091,115,273,2.000000,approval
9027,116,398,164.000000,approval
8999,116,398,9.000000,approval
6858,117,199,487.000000,approval
6858,118,198,487.000000,approval
6873,119,196,487.000000,approval
6861,120,195,487.000000,approval
6873,121,194,487.000000,approval
8862,122,192,196.000000,approval
6885,122,192,487.000000,approval
6858,123,191,487.000000,approval
3557,124,459,1.000000,approval
7517,125,43,7.000000,approval
8348,126,528,66.700000,approval
6580,127,187,251.000000,approval
1062,128,310,26.500000,approval
9124,128,310,27.200000,approval
9124,128,310,30.900000,approval
9124,128,310,22.700000,approval
9124,128,310,21.700000,approval
8814,129,472,5.000000,approval
8814,129,473,5.000000,approval
8815,129,472,5.000000,approval
8815,129,473,5.000000,approval
6185,130,60,142.000000,approval
8601,131,525,346.500000,approval
7579,132,479,100.000000,approval
6600,133,505,49.500000,approval
6599,133,505,49.500000,approval
1054,134,505,14.600000,approval
7517,135,69,4.000000,approval
7511,135,69,4.000000,approval
1065,135,64,7.000000,approval
10,136,199,5.000000,approval
10,137,198,5.000000,approval
16,138,196,5.000000,approval
20,139,195,5.000000,approval
9,140,194,5.000000,approval
9,141,192,5.000000,approval
12,142,191,5.000000,approval
1066,143,491,1.380000,approval
6185,144,35,80.000000,approval
1066,145,465,6.990000,approval
7579,146,146,101.000000,approval
2260,147,441,10.600000,approval
3645,147,441,0.500000,approval
2260,147,440,10.600000,approval
3645,147,440,0.500000,approval
2260,147,439,10.600000,approval
3645,147,439,0.500000,approval
2260,147,438,10.600000,approval
3645,147,438,0.500000,approval
8621,147,441,1.000000,approval
3620,148,279,0.500000,approval
3620,148,286,0.500000,approval
3405,148,216,1.000000,approval
3405,148,228,2.000000,approval
3405,148,220,1.000000,approval
3405,148,220,1.000000,approval
3405,148,224,1.000000,approval
9097,149,633,19.060000,approval
9097,149,633,19.060000,approval
9099,149,633,210.050000,approval
9282,150,442,53.500000,approval
9282,150,442,74.900000,approval
9282,150,442,87.400000,approval
9282,150,442,45.800000,approval
9282,150,442,43.700000,approval
9282,150,442,16.600000,approval
9298,150,442,1333.200000,approval
3634,151,525,2.000000,approval
7566,152,586,201.000000,approval
6580,153,144,101.000000,approval
2346,154,718,1.800000,approval
3448,155,497,2.000000,approval
6580,156,208,805.000000,approval
2401,156,208,805.000000,approval
2515,156,208,805.000000,approval
3709,156,208,805.000000,approval
5570,156,208,805.000000,approval
5548,156,208,805.000000,approval
5553,156,208,805.000000,approval
5390,156,208,805.000000,approval
5458,156,208,805.000000,approval
7814,156,208,805.000000,approval
1066,157,465,6.990000,approval
9147,158,626,34.100000,approval
9147,159,605,34.100000,approval
1656,160,268,0.970000,approval
7812,160,268,0.668000,approval
8647,160,268,3.000000,approval
3717,160,268,1.500000,approval
4067,160,268,1.300000,approval
3924,160,268,0.350000,approval
2501,160,268,5.000000,approval
2507,160,268,5.000000,approval
7827,160,268,10.000000,approval
7643,160,268,5.000000,approval
9091,160,268,0.100000,approval
3655,160,268,0.041000,approval
3657,160,268,0.050000,approval
5589,160,268,5.000000,approval
5532,160,268,5.000000,approval
5421,160,268,5.000000,approval
7814,160,268,5.000000,approval
5434,160,268,5.000000,approval
5933,160,268,5.000000,approval
5907,160,268,5.000000,approval
5897,160,268,5.000000,approval
5909,160,268,5.000000,approval
7809,160,268,5.000000,approval
6594,160,268,5.000000,approval
6587,160,268,0.400000,approval
8050,160,268,0.200000,approval
6828,160,268,0.200000,approval
6796,160,268,0.033500,approval
1651,161,352,2.055000,approval
6921,161,352,11.700000,approval
1537,161,352,0.540000,approval
7416,161,352,3.150000,approval
1838,161,352,0.115000,approval
793,161,352,0.500000,approval
6857,161,352,0.020000,approval
7887,161,352,1.100000,approval
3965,161,352,15.000000,approval
6586,161,352,6.250000,approval
3802,161,352,1.250000,approval
4067,161,352,3.800000,approval
3731,161,352,3.700000,approval
2544,161,352,5.000000,approval
2526,161,352,5.000000,approval
2515,161,352,5.000000,approval
2539,161,352,5.000000,approval
3709,161,352,5.000000,approval
3753,161,352,1.800000,approval
5932,161,352,5.000000,approval
5907,161,352,5.000000,approval
5867,161,352,5.000000,approval
7544,161,352,5.000000,approval
7809,161,352,5.000000,approval
6594,161,352,5.000000,approval
6590,161,352,5.000000,approval
7820,161,352,5.000000,approval
6738,161,352,0.200000,approval
7838,161,352,0.100000,approval
7837,161,352,0.200000,approval
6799,161,352,0.100000,approval
9366,162,208,805.000000,approval
9366,163,205,1005.000000,approval
7804,164,351,2.055000,approval
7700,164,351,11.750000,approval
1537,164,351,0.540000,approval
7416,164,351,3.150000,approval
1838,164,351,0.115000,approval
793,164,351,0.500000,approval
6857,164,351,0.020000,approval
7887,164,351,1.100000,approval
3965,164,351,15.000000,approval
6586,164,351,6.250000,approval
3802,164,351,1.250000,approval
4067,164,351,3.800000,approval
3728,164,351,3.700000,approval
2525,164,351,5.000000,approval
2489,164,351,5.000000,approval
2515,164,351,5.000000,approval
2539,164,351,5.000000,approval
3709,164,351,5.000000,approval
3753,164,351,1.800000,approval
3751,164,351,1.000000,approval
5391,164,351,5.000000,approval
5555,164,351,5.000000,approval
5529,164,351,5.000000,approval
7814,164,351,5.000000,approval
5461,164,351,5.000000,approval
2353,164,351,0.035000,approval
7817,164,351,0.050000,approval
5948,164,351,0.041500,approval
7817,164,351,0.030000,approval
5932,164,351,5.000000,approval
5907,164,351,5.000000,approval
5867,164,351,5.000000,approval
7544,164,351,5.000000,approval
7809,164,351,5.000000,approval
6594,164,351,5.000000,approval
6590,164,351,5.000000,approval
7820,164,351,5.000000,approval
6738,164,351,0.200000,approval
