request_id,req_stockout_code,req_stockout_status,is_complete_req
849,26082022-849,completed,0
850,26082022-850,completed,0
851,26082022-851,completed,0
852,26082022-852,completed,0
853,26082022-853,completed,0
855,26082022-855,completed,0
858,27082022-858,completed,0
859,27082022-859,completed,0
861,27082022-861,completed,0
862,27082022-862,completed,0
863,27082022-863,completed,0
864,27082022-864,completed,1
866,27082022-866,completed,0
867,27082022-867,completed,0
868,27082022-868,completed,0
870,27082022-870,completed,0
871,27082022-871,completed,0
872,27082022-872,completed,0
873,27082022-873,completed,0
875,27082022-875,completed,0
878,27082022-876,completed,0
879,29082022-879,completed,0
880,29082022-880,completed,0
882,29082022-882,completed,0
884,29082022-884,completed,0
886,29082022-886,completed,0
887,29082022-887,completed,0
889,29082022-889,completed,0
890,29082022-890,completed,1
893,29082022-893,completed,0
894,29082022-894,completed,0
895,29082022-895,completed,0
896,29082022-896,completed,0
897,29082022-897,completed,0
899,29082022-899,completed,0
900,29082022-900,completed,0
901,29082022-901,completed,0
902,29082022-902,completed,0
903,30082022-903,completed,0
905,30082022-905,completed,0
906,30082022-906,completed,0
907,30082022-907,completed,0
909,30082022-909,completed,0
912,30082022-912,completed,0
913,30082022-913,completed,0
914,30082022-914,completed,0
915,30082022-915,completed,0
916,30082022-916,completed,0
917,30082022-917,completed,0
918,30082022-918,completed,0
919,30082022-919,completed,0
920,31082022-920,completed,0
921,31082022-921,completed,0
922,31082022-922,completed,0
924,31082022-924,completed,0
926,31082022-926,completed,0
928,31082022-928,completed,0
931,31082022-931,completed,0
932,01092022-932,completed,0
933,01092022-933,completed,0
934,01092022-934,completed,0
935,01092022-935,completed,0
936,01092022-936,completed,0
938,01092022-937,completed,0
939,01092022-939,completed,0
940,05092022-940,completed,0
941,05092022-941,completed,0
942,05092022-942,completed,0
943,05092022-943,completed,0
945,05092022-945,completed,0
946,05092022-946,completed,0
947,05092022-947,completed,0
948,05092022-948,completed,0
953,05092022-953,completed,0
954,05092022-954,completed,0
956,05092022-956,completed,0
957,05092022-957,completed,0
958,06092022-958,completed,0
959,06092022-959,completed,0
960,06092022-960,completed,0
961,06092022-961,completed,0
963,06092022-963,completed,0
965,06092022-964,completed,0
966,06092022-966,completed,0
970,07092022-970,completed,0
971,07092022-971,completed,0
973,07092022-972,completed,0
974,07092022-974,completed,0
979,07092022-979,completed,0
982,07092022-982,completed,0
983,07092022-983,completed,0
984,07092022-984,completed,0
985,07092022-985,completed,0
986,07092022-986,completed,0
988,08092022-988,completed,0
991,08092022-991,completed,0
993,08092022-993,completed,0
994,08092022-994,completed,0
995,08092022-995,completed,0
998,09092022-998,completed,0
999,09092022-999,completed,0
1000,09092022-1000,completed,0
1001,09092022-1001,completed,0
1002,09092022-1002,completed,0
1003,09092022-1003,completed,0
1004,09092022-1004,completed,0
1005,09092022-1005,completed,0
1007,09092022-1007,completed,0
1008,09092022-1008,completed,0
1009,09092022-1009,completed,0
1011,09092022-1011,completed,0
1012,09092022-1012,completed,0
1014,09092022-1014,completed,0
1015,09092022-1015,completed,0
1016,09092022-1016,completed,0
1017,10092022-1017,completed,0
1018,10092022-1018,completed,0
1019,12092022-1019,completed,0
1020,12092022-1020,completed,0
1022,12092022-1021,completed,0
1023,12092022-1023,completed,0
1024,12092022-1024,completed,0
1025,12092022-1025,completed,0
1027,12092022-1027,completed,0
1028,12092022-1028,completed,0
1029,12092022-1029,completed,0
1031,12092022-1031,completed,0
1032,12092022-1032,completed,0
1036,12092022-1036,completed,0
1037,12092022-1037,completed,0
1039,12092022-1039,completed,0
1040,12092022-1040,completed,0
1041,13092022-1041,completed,0
1042,13092022-1042,completed,0
1044,13092022-1044,completed,0
1046,13092022-1046,completed,0
1047,13092022-1047,completed,0
1049,13092022-1049,completed,0
1050,13092022-1050,completed,0
1052,13092022-1052,completed,0
1054,13092022-1054,completed,0
1056,14092022-1056,completed,0
1057,14092022-1057,completed,0
1059,14092022-1058,completed,0
1060,14092022-1060,completed,0
1061,14092022-1061,completed,0
1062,14092022-1062,completed,0
1064,14092022-1064,completed,0
1065,14092022-1065,completed,0
1067,19092022-1067,completed,0
1068,19092022-1068,completed,0
1069,19092022-1069,completed,0
1070,19092022-1070,completed,0
1071,19092022-1071,completed,0
1072,19092022-1072,completed,0
1073,19092022-1073,completed,0
1075,19092022-1075,completed,0
1076,19092022-1076,completed,0
1077,19092022-1077,completed,0
1078,20092022-1078,completed,0
1079,20092022-1079,completed,0
1080,20092022-1080,completed,0
1083,20092022-1083,completed,0
1086,20092022-1086,completed,0
1087,20092022-1087,completed,0
1088,20092022-1088,completed,0
1089,20092022-1089,completed,0
1090,20092022-1090,completed,0
1091,20092022-1091,completed,0
1092,20092022-1092,completed,0
1093,20092022-1093,completed,0
1094,20092022-1094,completed,0
1095,20092022-1095,completed,0
1099,21092022-1098,completed,0
1100,21092022-1100,completed,0
1101,21092022-1101,completed,0
1102,21092022-1102,completed,0
1104,21092022-1104,completed,0
1105,21092022-1105,completed,0
1106,21092022-1106,completed,0
1109,21092022-1109,completed,0
1110,21092022-1110,completed,0
1111,21092022-1111,completed,0
1112,21092022-1112,completed,0
1113,21092022-1113,completed,0
1115,21092022-1115,completed,0
1116,21092022-1116,completed,0
1117,22092022-1117,completed,0
1118,22092022-1118,completed,0
1119,22092022-1119,completed,0
1120,22092022-1120,completed,0
1121,22092022-1121,completed,0
1122,22092022-1122,completed,0
1123,22092022-1123,completed,0
1124,22092022-1124,completed,0
1127,22092022-1127,completed,0
1128,22092022-1128,completed,0
1130,22092022-1130,completed,0
1132,23092022-1132,completed,0
1135,23092022-1135,completed,0
1136,23092022-1136,completed,0
1137,23092022-1137,completed,0
1138,23092022-1138,completed,0
1139,23092022-1139,completed,0
1140,23092022-1140,completed,0
1141,23092022-1141,completed,0
1142,23092022-1142,completed,0
1143,23092022-1143,completed,0
1144,23092022-1144,completed,0
1145,23092022-1145,completed,0
1146,23092022-1146,completed,0
1147,23092022-1147,completed,0
1148,23092022-1148,completed,0
1149,23092022-1149,completed,0
1150,23092022-1150,completed,0
1151,23092022-1151,completed,0
1152,23092022-1152,completed,0
1153,23092022-1153,completed,0
1154,23092022-1154,completed,0
1155,23092022-1155,completed,0
1156,24092022-1156,completed,0
1159,24092022-1159,completed,1
1160,24092022-1160,completed,0
1161,24092022-1161,completed,0
1162,24092022-1162,completed,0
1163,24092022-1163,completed,0
1164,24092022-1164,completed,0
1167,26092022-1167,completed,1
1168,26092022-1168,completed,1
1170,26092022-1170,completed,1
1171,26092022-1171,completed,0
1173,26092022-1173,completed,0
1174,26092022-1174,completed,0
1175,26092022-1175,completed,0
1176,26092022-1176,completed,0
1178,27092022-1178,completed,0
1179,27092022-1179,completed,1
1180,27092022-1180,completed,0
1181,27092022-1181,completed,0
1182,27092022-1182,completed,0
1185,27092022-1185,completed,0
1186,27092022-1186,completed,0
1187,27092022-1187,completed,0
1188,27092022-1188,completed,0
1189,27092022-1189,completed,0
1190,27092022-1190,completed,0
1191,27092022-1191,completed,1
1192,27092022-1192,completed,0
1193,27092022-1193,completed,0
1194,27092022-1194,completed,1
1195,27092022-1195,completed,0
1198,28092022-1198,completed,0
1199,28092022-1199,completed,0
1200,28092022-1200,completed,0
1201,28092022-1201,completed,0
1202,28092022-1202,completed,0
1203,28092022-1203,completed,0
1204,28092022-1204,completed,0
1205,28092022-1205,completed,0
1206,28092022-1206,completed,0
1207,28092022-1207,completed,0
1208,28092022-1208,completed,0
1209,28092022-1209,completed,0
1211,28092022-1211,completed,1
1212,28092022-1212,completed,0
1214,28092022-1214,completed,0
1215,29092022-1215,completed,0
1216,29092022-1216,completed,0
1218,29092022-1217,completed,0
1219,29092022-1219,completed,0
1222,29092022-1222,completed,1
1223,29092022-1223,completed,0
1224,29092022-1224,completed,0
1227,29092022-1227,completed,0
1232,30092022-1232,completed,0
1233,30092022-1233,completed,0
1234,30092022-1234,completed,0
1235,30092022-1235,completed,0
1236,30092022-1236,completed,0
1237,30092022-1237,completed,0
1238,30092022-1238,completed,1
1240,30092022-1239,completed,0
1242,30092022-1242,completed,0
1243,30092022-1243,completed,0
1244,30092022-1244,completed,0
1245,30092022-1245,completed,0
1246,30092022-1246,completed,0
1249,01102022-1249,completed,1
1250,01102022-1250,completed,0
1252,01102022-1252,completed,0
1253,01102022-1253,completed,0
1254,01102022-1254,completed,0
